iter	Passed	Remaining
186	291	1266
187	292	1263
188	293	1261
189	295	1261
190	297	1260
191	299	1261
192	301	1262
193	303	1261
194	306	1264
195	308	1264
196	311	1269
197	312	1266
198	313	1263
199	315	1260
200	316	1257
201	317	1254
202	318	1251
203	320	1248
204	321	1245
205	322	1242
206	323	1240
207	325	1240
208	327	1238
209	328	1235
210	329	1232
211	330	1229
212	332	1227
213	333	1224
214	334	1221
215	335	1218
216	337	1216
217	338	1213
218	340	1213
219	341	1211
220	342	1208
221	344	1205
222	345	1202
223	346	1200
224	347	1197
225	348	1195
226	350	1192
227	351	1190
228	352	1187
229	354	1187
230	356	1186
231	357	1184
232	359	1181
233	360	1179
234	361	1176
235	362	1174
236	364	1172
237	365	1170
238	366	1167
239	367	1164
240	369	1164
241	371	1162
242	372	1160
243	373	1158
244	375	1155
245	376	1153
246	377	1150
247	378	1148
248	380	1146
249	381	1144
250	383	1145
251	385	1144
252	386	1141
253	387	1139
254	389	1136
255	390	1134
256	391	1132
257	392	1129
258	394	1127
259	395	1124
260	396	1122
261	398	1121
262	399	1120
263	401	1119
264	402	1116
265	403	1114
266	405	1112
267	406	1110
268	407	1108
269	409	1106
270	410	1104
271	411	1102
272	413	1102
273	415	1100
274	416	1098
275	418	1096
276	419	1094
277	420	1092
278	421	1090
279	423	1088
280	424	1085
281	425	1083
282	426	1081
283	428	1080
284	430	1079
285	431	1076
286	432	1074
287	434	1073
288	435	1072
289	437	1070
290	438	1067
291	439	1065
292	440	1063
293	442	1062
294	444	1061
295	445	1059
296	446	1057
297	448	1055
298	449	1053
299	450	1051
300	451	1049
301	453	1047
302	454	1045
303	455	1043
304	457	1042
305	459	1041
306	460	1039
307	462	1038
308	463	1036
309	464	1034
310	465	1032
311	466	1029
312	468	1027
313	469	1025
314	470	1023
315	472	1023
316	474	1022
317	475	1020
318	477	1018
319	478	1016
320	479	1014
321	480	1012
322	482	1010
323	483	1008
324	484	1006
325	485	1004
326	487	1004
327	489	1002
328	490	1000
329	492	998
330	493	996
331	494	994
332	495	992
333	497	991
334	498	989
335	499	987
336	500	985
337	502	984
338	504	983
339	505	981
340	506	979
341	508	977
342	509	975
343	510	973
344	511	971
345	512	969
346	514	967
347	515	965
348	517	965
349	519	963
350	520	961
351	521	959
352	522	957
353	524	956
354	525	954
355	526	952
356	527	950
357	529	949
358	530	947
359	532	946
360	533	944
361	535	943
362	536	941
363	537	939
364	538	937
365	539	935
366	541	933
367	542	931
368	543	930
369	545	929
370	547	927
371	548	926
372	549	924
373	551	922
374	552	920
375	553	918
376	554	916
377	556	915
378	557	913
379	558	911
380	560	911
381	562	910
382	564	908
383	565	906
384	566	905
385	567	903
386	569	901
387	570	899
388	571	897
389	572	895
390	573	893
391	576	893
392	577	892
393	578	890
394	580	888
395	581	886
396	582	885
397	584	883
398	585	881
399	586	879
400	587	878
401	589	876
402	591	876
403	592	874
404	593	872
405	595	870
406	596	868
407	597	866
408	598	864
409	599	863
410	601	861
411	602	859
412	603	857
413	605	857
414	606	855
415	608	853
416	609	851
417	610	850
418	611	848
419	613	846
420	614	844
421	615	843
422	616	841
423	618	839
424	620	839
425	621	837
426	623	836
427	624	834
428	625	832
429	626	831
430	628	829
431	629	827
432	630	825
433	631	824
434	633	822
435	635	821
436	636	820
437	638	818
438	639	817
439	640	815
440	641	813
441	643	811
442	644	809
443	645	808
444	646	806
445	647	804
446	649	803
447	651	802
448	652	801
449	654	799
450	656	799
451	658	798
452	660	797
453	661	795
454	663	794
455	666	795
456	669	795
457	671	795
458	674	794
459	675	793
460	677	791
461	678	790
462	681	790
463	683	789
464	684	787
465	685	785
466	686	783
467	688	782
468	689	780
469	690	778
470	691	776
471	693	775
472	695	774
473	696	772
474	697	771
475	698	769
476	700	767
477	701	765
478	702	764
479	703	762
480	704	760
481	706	758
482	707	757
483	709	756
484	711	755
485	712	753
486	713	751
487	714	750
488	716	748
489	717	746
490	718	744
491	719	743
492	721	741
493	722	739
494	724	738
495	725	737
496	727	735
497	728	734
498	729	732
499	730	730
500	731	728
501	733	727
502	734	725
503	735	724
504	736	722
505	738	720
506	740	719
507	741	718
508	742	716
509	744	714
510	745	713
511	746	711
512	747	709
513	749	708
514	750	706
515	751	704
516	752	703
517	755	702
518	756	700
519	757	699
520	758	697
521	760	695
522	761	694
523	762	692
524	763	690
525	764	689
526	766	687
527	767	686
528	769	685
529	771	683
530	772	682
531	773	680
532	774	678
533	776	677
534	777	675
535	778	674
536	779	672
537	780	670
538	782	669
539	784	668
540	785	666
541	787	665
542	788	663
543	790	662
544	791	660
545	792	659
546	793	657
547	795	655
548	796	654
549	798	653
550	800	651
551	801	650
552	802	648
553	803	647
554	805	645
555	806	643
556	807	642
557	808	640
558	809	638
559	811	637
560	813	636
561	814	635
562	816	633
563	817	631
564	818	630
565	819	628
566	820	626
567	822	625
568	823	623
569	824	622
570	825	620
571	827	619
572	829	618
573	830	616
574	832	614
575	833	613
576	834	611
577	835	610
578	836	608
579	838	606
580	839	605
581	840	603
582	842	602
583	844	601
584	845	599
585	846	598
586	848	596
587	849	595
588	850	593
589	851	591
590	852	590
591	854	588
592	855	587
593	858	586
594	860	585
595	861	584
596	863	582
597	864	581
598	866	580
599	867	578
600	869	577
601	870	575
602	872	574
603	873	572
604	875	571
605	876	569
606	877	568
607	878	566
608	880	565
609	881	563
610	882	561
611	883	560
612	885	558
613	887	557
614	889	556
615	890	554
616	891	553
617	892	551
618	894	550
619	895	548
620	896	547
621	897	545
622	899	544
623	901	543
624	903	542
625	904	540
626	906	539
627	907	537
628	908	535
629	909	534
630	911	532
631	912	531
632	913	529
633	914	528
634	916	527
635	918	525
636	919	524
637	920	522
638	921	520
639	923	519
640	924	517
641	925	516
642	926	514
643	928	513
644	929	511
645	931	510
646	932	509
647	934	507
648	935	506
649	936	504
650	938	503
651	939	501
652	941	500
653	942	498
654	943	497
655	945	495
656	946	494
657	948	493
658	949	491
659	951	489
660	952	488
661	953	486
662	954	485
663	956	483
664	957	482
665	958	480
666	960	479
667	961	478
668	963	476
669	964	475
670	965	473
671	967	472
672	968	470
673	969	468
674	970	467
675	972	465
676	973	464
677	974	462
678	976	461
679	977	460
680	979	458
681	980	457
682	981	455
683	983	454
684	984	452
685	985	451
686	986	449
687	988	448
688	989	446
689	991	445
690	992	444
691	994	442
692	995	441
693	996	439
694	998	437
695	999	436
696	1000	434
697	1001	433
698	1002	431
699	1004	430
700	1006	429
701	1007	427
702	1008	426
703	1010	424
704	1011	423
705	1012	421
706	1013	420
707	1015	418
708	1016	417
709	1017	415
710	1018	414
711	1022	413
712	1023	412
713	1025	410
714	1027	409
715	1029	408
716	1030	406
717	1032	405
718	1035	404
719	1037	403
720	1039	402
721	1040	400
722	1042	399
723	1043	397
724	1044	396
725	1045	394
726	1047	393
727	1048	391
728	1050	390
729	1051	389
730	1053	387
731	1054	385
732	1055	384
733	1056	382
734	1057	381
735	1059	379
736	1060	378
737	1061	376
738	1062	375
739	1065	374
740	1066	372
741	1067	371
742	1069	369
743	1070	368
744	1071	366
745	1072	365
746	1074	363
747	1075	362
748	1076	360
749	1077	359
750	1079	358
751	1081	356
752	1082	355
753	1083	353
754	1085	352
755	1086	350
756	1087	349
757	1088	347
758	1090	346
759	1091	344
760	1092	343
761	1094	341
762	1096	340
763	1097	339
764	1099	337
765	1101	336
766	1103	335
767	1104	333
768	1106	332
769	1107	330
770	1109	329
771	1110	328
772	1112	326
773	1113	325
774	1114	323
775	1115	322
776	1117	320
777	1118	319
778	1120	317
779	1121	316
780	1124	315
781	1126	313
782	1127	312
783	1129	311
784	1130	309
785	1131	308
786	1133	306
787	1134	305
788	1135	303
789	1136	302
790	1138	300
791	1140	299
792	1141	297
793	1142	296
794	1144	295
795	1145	293
796	1147	292
797	1148	290
798	1149	289
799	1150	287
800	1152	286
801	1154	284
802	1155	283
803	1156	281
804	1158	280
805	1159	279
806	1160	277
807	1161	276
808	1163	274
809	1164	273
810	1165	271
811	1166	270
812	1168	268
813	1170	267
814	1171	265
815	1172	264
816	1173	262
817	1175	261
818	1176	259
819	1177	258
820	1178	257
821	1180	255
822	1181	254
823	1183	252
824	1184	251
825	1186	249
826	1187	248
827	1188	246
828	1189	245
829	1191	243
830	1192	242
831	1193	241
832	1194	239
833	1196	238
834	1198	236
835	1200	235
836	1201	233
837	1202	232
838	1203	230
839	1204	229
840	1206	228
841	1207	226
842	1208	225
843	1209	223
844	1211	222
845	1213	220
846	1214	219
847	1215	217
848	1217	216
849	1218	214
850	1219	213
851	1220	212
852	1222	210
853	1223	209
854	1224	207
855	1226	206
856	1227	204
857	1229	203
858	1230	202
859	1232	200
860	1233	199
861	1234	197
862	1235	196
863	1236	194
864	1238	193
865	1239	191
866	1240	190
867	1242	188
868	1244	187
869	1245	186
870	1246	184
871	1247	183
872	1248	181
873	1250	180
874	1251	178
875	1252	177
876	1254	175
877	1255	174
878	1257	173
879	1258	171
880	1260	170
881	1261	168
882	1262	167
883	1263	165
884	1265	164
885	1266	162
886	1267	161
887	1269	160
888	1270	158
889	1272	157
890	1274	155
891	1275	154
892	1276	152
893	1277	151
894	1278	150
895	1280	148
896	1281	147
897	1282	145
898	1283	144
899	1285	142
900	1286	141
901	1288	139
902	1289	138
903	1291	137
904	1292	135
905	1293	134
906	1294	132
907	1296	131
908	1297	129
909	1298	128
910	1299	126
911	1301	125
912	1303	124
913	1304	122
914	1305	121
915	1306	119
916	1308	118
917	1309	116
918	1310	115
919	1311	114
920	1313	112
921	1314	111
922	1316	109
923	1317	108
924	1319	106
925	1320	105
926	1322	104
927	1323	102
928	1324	101
929	1326	99
930	1327	98
931	1328	96
932	1330	95
933	1331	94
934	1333	92
935	1334	91
936	1335	89
937	1336	88
938	1338	86
939	1339	85
940	1340	84
941	1342	82
942	1343	81
943	1345	79
944	1346	78
945	1348	76
946	1349	75
947	1350	74
948	1351	72
949	1353	71
950	1354	69
951	1355	68
952	1356	66
953	1358	65
954	1359	64
955	1361	62
956	1363	61
957	1364	59
958	1365	58
959	1367	56
960	1368	55
961	1369	54
962	1370	52
963	1372	51
964	1373	49
965	1375	48
966	1377	46
967	1379	45
968	1381	44
969	1382	42
970	1384	41
971	1385	39
972	1387	38
973	1388	37
974	1390	35
975	1391	34
976	1393	32
977	1394	31
978	1395	29
979	1396	28
980	1398	27
981	1399	25
982	1400	24
983	1401	22
984	1403	21
985	1405	19
986	1406	18
987	1407	17
988	1409	15
989	1410	14
990	1411	12
991	1412	11
992	1413	9
993	1415	8
994	1416	7
995	1417	5
996	1420	4
997	1421	2
998	1422	1
999	1423	0
